pCO2,T,TA,DO,DIC,label
609.0544047765434,26.101,2153.3,201.18129355099688,1962.8180039138942,1
564.9300292134285,18.04,2230.0,223.335,2061.7,1
566.7040240950882,18.07,2229.6,219.746,2061.7,1
569.721742067486,18.23,2229.6,226.793,2061.7,1
568.5014766640961,18.17,2229.7,223.585,2061.7,1
567.4533313140273,18.11,2229.6,228.996,2061.7,1
573.4731093980372,18.1,2227.6,234.616,2061.7,1
566.0932511091232,18.03,2229.5,222.506,2061.7,1
563.3965483866632,18.06,2230.6,231.799,2061.7,1
572.1854395233095,18.21,2228.8,226.927,2061.7,1
566.5463395416737,18.48,2231.9,222.735,2061.7,1
563.7643625959754,18.01,2230.2,221.071,2061.7,1
562.6355414278805,18.02,2230.6,225.758,2061.7,1
573.2860881835222,18.25,2228.7,225.167,2061.7,1
574.0947090089321,18.25,2228.4,225.623,2061.7,1
578.1293730251491,18.24,2227.0,225.376,2061.7,1
573.6022721976042,18.31,2228.9,226.148,2061.7,1
572.473683860153,18.18,2228.5,226.274,2061.7,1
571.9948094338179,18.24,2229.0,224.507,2061.7,1
446.1968783289194,18.1,2231.1,222.71,2022.7,1
1595.5,24.588,2263.0,225.8418281,2255.0,1
1010.9,24.588,2254.0,223.4575871,2182.0,1
767.5,24.588,2255.0,222.807372,2138.0,1
566.0,24.588,2255.0,218.7225145,2085.0,1
388.3,24.588,2246.0,219.6143614,2003.0,1
440.1,18.686,2291.0,220.1646159,2113.0,1
459.8,18.686,2289.0,217.4606801,2120.0,1
406.0,18.686,2290.0,217.5212191,2097.0,1
373.927,5.933,2244.0,289.0,2089.0,0
368.431,5.426,2241.0,294.0,2087.0,0
358.532,5.006,2236.0,300.0,2081.0,0
393.089,7.212,2251.0,270.0,2093.0,0
390.119,6.28,2246.0,281.0,2094.0,0
358.526,5.34,2240.0,295.0,2082.0,0
388.161,6.87,2249.0,274.0,2091.0,0
403.035,6.579,2247.0,269.0,2098.0,0
393.631,6.18,2245.0,276.0,2096.0,0
370.605,11.146,2264.0,254.0,2066.0,0
366.215,11.116,2263.0,257.0,2063.0,0
373.324,10.54,2258.0,260.0,2067.0,0
375.646,11.13,2261.0,260.0,2066.0,0
373.611,11.084,2258.0,261.0,2063.0,0
398.585,10.7,2258.0,259.0,2077.0,0
378.973,11.214,2260.0,257.0,2066.0,0
389.256,10.838,2255.0,256.0,2070.0,0
379.055,11.18,2257.0,258.0,2064.0,0
410.814,20.45,2178.0,196.0,1951.0,0
426.375,20.58,2233.0,198.0,1999.0,0
452.39,20.47,2215.0,192.0,1997.0,0
375.689,16.94,2246.0,225.0,2013.0,0
416.333,18.42,2245.0,213.0,2020.0,0
433.665,18.72,2250.0,203.0,2030.0,0
408.7,15.05,2249.0,226.0,2044.0,0
386.784,16.56,2249.0,229.0,2023.0,0
381.166,18.3,2247.0,228.0,2005.0,0
278.931,6.41,2251.0,304.0,2047.0,0
290.0,6.53,2237.0,308.0,2040.0,0
282.855,7.28,2236.0,313.0,2029.0,0
321.824,6.02,2245.0,295.0,2067.0,0
349.238,5.57,2247.0,277.0,2084.0,0
306.187,6.11,2241.0,289.0,2055.0,0
387.756,5.88,2251.0,273.0,2101.0,0
376.308,5.66,2247.0,282.0,2095.0,0
306.503,6.05,2242.0,295.0,2056.0,0
365.13,4.11,2238.0,311.0,2093.0,0
341.162,4.08,2242.0,312.0,2087.0,0
365.546,3.86,2236.0,317.0,2093.0,0
378.539,5.08,2239.0,301.0,2092.0,0
378.799,4.33,2236.0,308.0,2094.0,0
380.666,4.34,2236.0,306.0,2096.0,0
410.811,5.37,2239.0,287.0,2102.0,0
373.69,4.35,2235.0,307.0,2092.0,0
389.431,4.25,2235.0,308.0,2098.0,0
359.037,12.38,2260.0,248.0,2049.0,0
357.205,11.38,2255.0,250.0,2052.0,0
377.928,10.86,2247.0,258.0,2059.0,0
393.085,11.57,2256.0,238.0,2067.0,0
367.431,12.02,2258.0,247.0,2054.0,0
401.102,11.05,2248.0,250.0,2068.0,0
335.96,12.11,2256.0,256.0,2036.0,0
374.805,12.07,2259.0,241.0,2058.0,0
386.901,11.65,2258.0,236.0,2066.0,0
390.494,16.29,2239.0,226.0,2021.0,0
348.206,16.6,2243.0,248.0,2001.0,0
381.328,16.84,2247.0,258.0,2019.0,0
360.877,10.95,2240.0,276.0,2047.0,0
373.35,12.36,2239.0,262.0,2042.0,0
354.063,13.89,2243.0,262.0,2024.0,0
378.608,11.43,2255.0,256.0,2062.0,0
351.255,13.24,2259.0,252.0,2039.0,0
352.135,13.02,2246.0,266.0,2032.0,0
384.229,3.9,2235.0,285.0,2101.0,0
380.743,3.5,2238.0,303.0,2104.0,0
332.552,5.3,2225.0,293.0,2062.0,0
465.447,2.7,2243.0,288.0,2141.0,0
448.138,2.8,2240.0,294.0,2132.0,0
411.283,3.5,2235.0,304.0,2112.0,0
458.648,2.5,2239.0,296.0,2137.0,0
475.268,2.8,2234.0,295.0,2135.0,0
422.461,3.0,2237.0,304.0,2121.0,0
367.879,2.1,2224.0,335.0,2096.0,0
312.448,1.68,2229.0,351.0,2079.0,0
244.645,1.39,2233.0,368.0,2047.0,0
362.922,1.76,2231.0,335.0,2102.0,0
357.608,2.11,2233.0,343.0,2099.0,0
302.692,1.5,2229.0,352.0,2075.0,0
416.892,2.38,2228.0,320.0,2114.0,0
395.982,1.83,2224.0,330.0,2108.0,0
377.114,1.69,2223.0,338.0,2100.0,0
419.445,14.7,2242.0,226.0,2045.0,0
431.208,14.6,2242.0,224.0,2050.0,0
370.148,16.5,2242.0,238.0,2010.0,0
400.472,11.2,2249.0,244.0,2068.0,0
385.801,12.3,2253.0,243.0,2056.0,0
401.295,14.3,2249.0,233.0,2045.0,0
394.032,10.9,2248.0,248.0,2066.0,0
386.469,12.2,2251.0,244.0,2056.0,0
392.875,13.2,2256.0,230.0,2055.0,0
292.163,11.3,2193.0,301.0,1971.0,0
306.681,10.5,2199.0,290.0,1990.0,0
303.43,11.6,2204.0,302.0,1984.0,0
349.79,7.7,2222.0,302.0,2049.0,0
352.333,7.5,2225.0,301.0,2054.0,0
318.343,8.4,2221.0,309.0,2029.0,0
360.633,6.9,2236.0,291.0,2071.0,0
348.145,6.0,2233.0,310.0,2069.0,0
343.37,5.1,2228.0,321.0,2069.0,0
334.922,2.1,2221.0,332.0,2079.0,0
343.908,2.2,2221.0,328.0,2083.0,0
293.038,1.6,2218.0,352.0,2061.0,0
360.251,2.0,2214.0,334.0,2085.0,0
312.903,1.7,2220.0,341.0,2071.0,0
314.283,1.7,2218.0,343.0,2070.0,0
347.881,2.1,2216.0,332.0,2081.0,0
357.107,2.1,2212.0,332.0,2081.0,0
337.528,1.9,2215.0,332.0,2077.0,0
405.471,8.4,2248.0,248.0,2087.0,0
427.357,7.9,2249.0,246.0,2100.0,0
471.685,7.2,2249.0,252.0,2119.0,0
454.183,7.9,2248.0,242.0,2108.0,0
378.254,9.7,2247.0,254.0,2067.0,0
401.386,8.7,2247.0,251.0,2083.0,0
472.303,7.7,2248.0,244.0,2115.0,0
397.641,8.5,2249.0,244.0,2085.0,0
408.099,9.3,2247.0,251.0,2082.0,0
356.989,15.1,2228.0,236.0,2004.0,0
379.649,15.0,2225.0,224.0,2013.0,0
333.416,14.4,2215.0,242.0,1987.0,0
332.026,15.3,2250.0,248.0,2007.0,0
395.988,14.5,2233.0,229.0,2031.0,0
322.413,16.2,2240.0,240.0,1985.0,0
363.653,15.3,2241.0,235.0,2015.0,0
353.045,15.9,2240.0,237.0,2005.0,0
333.841,16.3,2240.0,236.0,1991.0,0
343.33,5.1,2246.0,300.0,2082.0,0
204.495,3.5,2252.0,351.0,2013.0,0
217.368,3.8,2254.0,351.0,2022.0,0
315.66,5.5,2254.0,298.0,2072.0,0
230.21,3.9,2257.0,338.0,2034.0,0
319.988,4.5,2250.0,309.0,2079.0,0
320.03,5.8,2256.0,301.0,2074.0,0
301.815,4.6,2251.0,315.0,2070.0,0
295.831,3.9,2250.0,324.0,2070.0,0
368.133,17.9,2230.0,229.0,1989.0,0
357.758,16.7,2240.0,245.0,2001.0,0
354.637,15.9,2242.0,249.0,2007.0,0
378.108,12.6,2256.0,237.0,2053.0,0
346.657,13.0,2254.0,259.0,2034.0,0
352.86,12.0,2253.0,255.0,2044.0,0
372.164,11.1,2257.0,245.0,2062.0,0
345.04,11.0,2256.0,249.0,2049.0,0
358.185,10.3,2257.0,252.0,2062.0,0
372.4,29.5135,2297.8,195.5,1945.2,0
397.4,29.3311,2317.1,193.6,1974.7,0
384.6,28.7359,2321.0,197.9,1974.7,0
376.9,29.5802,2295.6,195.7,1945.6,0
379.8,29.5895,2318.7,195.2,1962.7,0
360.4,29.9227,2311.7,196.3,1944.4,0
363.8,29.2029,2317.4,194.0,1956.5,0
387.7,29.9031,2298.7,193.4,1950.9,0
378.3,29.8392,2293.9,193.2,1942.9,0
370.4,29.6078,2303.8,195.1,1946.1,0
384.7,29.1874,2329.2,196.9,1977.1,0
397.8,29.117,2314.0,194.6,1974.0,0
389.5,29.3321,2319.2,193.7,1971.9,0
354.3,29.9335,2311.3,196.1,1940.1,0
377.1,29.1237,2303.8,198.0,1955.3,0
373.8,28.5478,2316.8,199.7,1966.7,0
360.4,28.8689,2291.7,197.6,1938.8,0
379.7,29.293,2299.8,196.7,1952.3,0
373.2,29.499,2300.4,196.7,1947.5,0
388.0,29.1545,2310.5,194.6,1965.5,0
361.3,28.2027,2322.1,200.0,1966.1,0
362.6,28.4533,2321.6,199.2,1964.4,0
368.8,29.4065,2308.9,195.8,1950.9,0
368.7,27.5523,2320.0,205.1,1974.0,0
384.0,29.1662,2325.4,195.2,1974.7,0
381.9,29.0974,2317.9,196.3,1968.1,0
383.3,29.1506,2320.7,196.5,1970.7,0
369.7,29.0947,2323.2,196.0,1965.0,0
373.9,29.0922,2323.0,196.2,1967.4,0
367.6,29.1783,2326.2,196.0,1965.4,0
370.3,29.2086,2326.8,195.0,1967.3,0
387.2,29.1416,2324.3,196.3,1975.9,0
367.7,29.1771,2329.1,196.0,1967.8,0
379.3,29.2366,2323.8,194.0,1970.2,0
367.7,29.6636,2319.4,201.1,1956.8,0
388.0,29.1204,2308.2,194.7,1963.9,0
370.4,27.4388,2342.1,209.3,1993.4,0
372.6,25.8741,2339.6,208.7,2005.4,0
345.8,26.5099,2321.7,204.8,1970.4,0
350.6,27.9157,2326.5,203.8,1965.3,0
361.7,26.9381,2347.0,211.1,1995.8,0
356.5,27.1979,2334.0,205.4,1980.6,0
357.3,26.5697,2329.3,209.3,1982.5,0
365.3,26.2362,2324.6,208.6,1986.4,0
356.9,25.5449,2354.4,215.2,2010.1,0
360.7,26.2444,2354.8,210.4,2007.0,0
378.1,27.7652,2349.6,207.5,2000.0,0
364.8,26.0367,2344.4,214.5,2002.9,0
362.2,24.8489,2337.5,204.7,2007.0,0
399.0,23.1873,2354.4,182.4,2054.7,0
371.1,25.6173,2335.4,200.0,2004.7,0
361.5,25.1692,2340.3,206.8,2005.5,0
363.0,24.0224,2350.9,204.0,2024.3,0
354.7,23.5004,2339.0,196.4,2014.5,0
372.4,22.8898,2337.0,200.6,2028.4,0
396.1,23.8528,2340.8,207.1,2036.7,0
357.6,23.8038,2338.9,205.5,2013.7,0
376.4,24.3577,2369.2,200.5,2043.0,0
368.2,23.5344,2362.2,199.0,2040.6,0
404.1,24.0392,2351.5,175.7,2048.2,0
382.0,21.4869,2340.2,199.2,2048.0,0
374.7,21.5363,2339.7,198.8,2043.2,0
393.5,23.4803,2348.3,186.8,2044.4,0
389.3,22.566,2357.4,189.5,2056.4,0
385.8,22.8976,2336.0,192.0,2035.3,0
379.9,21.8,2338.1,183.7,2042.7,0
394.2,22.0812,2331.7,183.2,2042.9,0
393.3,21.1442,2346.6,189.6,2062.3,0
395.5,20.7811,2331.7,190.0,2054.2,0
418.2,22.1411,2372.2,169.7,2086.2,0
380.9,20.0749,2336.6,194.9,2056.6,0
376.8,20.1791,2350.0,195.6,2064.6,0
393.3,19.6428,2343.6,189.0,2072.3,0
447.7,21.0206,2341.4,177.2,2085.3,0
416.0,22.3109,2351.8,164.7,2068.5,0
418.0,21.5327,2346.9,173.6,2071.8,0
410.4,21.5328,2349.5,166.7,2070.2,0
409.0,20.0182,2342.4,186.0,2076.1,0
381.3,21.2775,2347.7,190.8,2055.9,0
421.9,20.6016,2357.4,173.1,2089.5,0
408.5,21.3196,2336.9,173.0,2060.6,0
409.9,19.6017,2336.3,187.2,2075.0,0
433.7,21.433,2358.6,172.5,2088.8,0
397.3,20.5213,2340.4,181.0,2064.5,0
381.0,21.4561,2336.3,195.8,2044.9,0
397.5,19.6478,2334.8,189.3,2067.0,0
406.1,19.9432,2343.5,182.4,2076.2,0
399.1,20.5271,2336.9,179.3,2062.5,0
385.5,19.452,2342.7,187.5,2069.3,0
423.8,20.479,2351.8,177.7,2086.9,0
429.0,21.6858,2341.6,165.1,2071.4,0
411.3,21.0501,2338.5,181.0,2065.7,0
392.3,19.8354,2340.1,181.3,2067.4,0
432.1,21.1777,2356.0,173.6,2088.5,0
425.8,21.1398,2362.8,170.7,2091.5,0
471.5,17.4964,2334.6,165.5,2117.7,0
462.6,18.0063,2337.1,164.1,2112.2,0
480.6,16.5742,2319.6,164.7,2115.5,0
469.9,12.5735,2304.7,180.7,2128.7,0
463.5,11.8322,2301.2,186.3,2128.5,0
442.6,13.14,2312.4,189.7,2120.6,0
467.4,14.2224,2304.5,177.7,2115.1,0
488.9,14.3858,2300.0,172.1,2117.8,0
437.9,14.5653,2321.3,183.6,2115.7,0
457.7,13.9968,2304.6,186.1,2113.1,0
491.5,12.1859,2284.3,182.9,2120.9,0
478.4,13.5356,2303.2,172.6,2123.1,0
537.5,11.7346,2298.3,153.8,2150.6,0
429.7,11.4405,2302.3,179.8,2120.1,0
461.4,13.845,2299.7,184.7,2111.6,0
510.1,13.7189,2307.4,164.4,2136.1,0
446.3,12.7583,2301.8,189.3,2115.4,0
312.299,25.713,2242.0,227.0,1901.0,0
317.3,25.118,2281.0,220.4,1936.0,0
323.48,25.567,2241.0,218.0,1909.0,0
336.132,28.957,2237.0,205.0,1885.0,0
330.479,26.386,2237.0,213.9,1904.0,0
338.289,28.273,2197.0,206.9,1864.0,0
336.328,26.643,2234.0,211.0,1903.0,0
331.625,28.216,2226.0,205.4,1880.0,0
334.593,26.155,2243.0,212.3,1913.0,0
329.894,28.29,2227.0,204.0,1879.0,0
323.756,27.83,2242.0,205.4,1890.0,0
385.819,28.275,2273.0,203.9,1949.0,0
335.444,25.558,2240.0,213.4,1916.0,0
348.961,28.028,2218.0,204.8,1887.0,0
341.076,28.921,2259.0,200.9,1904.0,0
353.768,29.208,2251.0,200.0,1904.0,0
354.26,27.115,2222.0,207.0,1900.0,0
343.376,29.233,2245.0,199.7,1893.0,0
338.733,28.941,2257.0,200.3,1901.0,0
349.732,27.24,2219.0,206.3,1894.0,0
342.301,27.168,2209.0,206.4,1884.0,0
348.88,27.375,2239.0,205.0,1908.0,0
342.173,28.849,2260.0,199.7,1906.0,0
331.266,27.033,2217.0,206.3,1884.0,0
350.102,29.401,2230.0,198.2,1885.0,0
336.815,26.432,2247.0,207.9,1914.0,0
348.686,27.448,2240.0,204.5,1908.0,0
351.538,28.338,2181.0,202.4,1860.0,0
343.561,28.539,2232.0,200.7,1889.0,0
345.435,26.416,2243.0,207.8,1917.0,0
332.807,28.888,2252.0,199.0,1894.0,0
331.309,26.587,2252.0,206.7,1913.0,0
341.042,27.495,2217.0,203.8,1885.0,0
352.622,27.06,2220.0,205.2,1898.0,0
351.043,29.092,2244.0,198.2,1898.0,0
340.002,27.22,2220.0,204.6,1889.0,0
332.958,27.907,2247.0,202.0,1899.0,0
331.882,27.969,2246.0,201.8,1897.0,0
344.875,27.233,2220.0,204.4,1892.0,0
330.354,28.272,2234.0,200.9,1885.0,0
350.742,27.211,2218.0,204.4,1894.0,0
344.23,26.446,2245.0,206.8,1917.0,0
335.738,28.785,2254.0,198.8,1898.0,0
341.985,26.051,2235.0,208.4,1912.0,0
338.26,27.494,2218.0,203.4,1884.0,0
342.666,28.282,2195.0,201.3,1865.0,0
331.103,25.942,2260.0,208.1,1923.0,0
339.808,27.143,2218.0,204.5,1888.0,0
340.961,26.462,2244.0,206.5,1914.0,0
347.646,26.384,2246.0,206.9,1921.0,0
344.913,26.731,2241.0,205.6,1912.0,0
318.761,25.63,2275.0,208.9,1929.0,0
340.318,26.597,2246.0,205.9,1914.0,0
321.256,25.79,2244.0,208.7,1908.0,0
337.819,25.997,2240.0,208.0,1914.0,0
337.555,26.061,2236.0,207.7,1910.0,0
354.14,25.622,2249.0,208.5,1931.0,0
338.198,29.063,2245.0,197.3,1891.0,0
324.453,27.918,2253.0,201.0,1898.0,0
333.862,26.223,2253.0,206.6,1918.0,0
339.618,27.23,2246.0,203.2,1908.0,0
322.249,26.212,2255.0,206.6,1912.0,0
353.39,27.539,2198.0,202.5,1878.0,0
341.367,26.607,2244.0,205.2,1913.0,0
344.952,26.742,2241.0,204.8,1912.0,0
319.548,25.472,2287.0,208.4,1939.0,0
304.561,25.935,2273.0,207.1,1915.0,0
342.185,28.868,2246.0,197.6,1896.0,0
343.018,27.263,2203.0,203.2,1878.0,0
346.36,28.557,2271.0,198.1,1919.0,0
338.244,27.041,2229.0,203.8,1897.0,0
339.141,26.01,2239.0,207.3,1914.0,0
334.339,26.019,2238.0,207.2,1910.0,0
315.249,25.122,2287.0,209.4,1939.0,0
343.201,26.556,2241.0,205.0,1912.0,0
322.525,25.189,2288.0,209.0,1944.0,0
337.502,27.472,2217.0,202.0,1883.0,0
336.214,26.736,2244.0,204.3,1909.0,0
331.622,28.271,2233.0,199.3,1885.0,0
316.3,24.954,2284.0,209.8,1939.0,0
336.617,25.77,2240.0,207.8,1915.0,0
345.528,27.251,2205.0,202.8,1881.0,0
338.721,26.601,2246.0,204.6,1913.0,0
318.088,24.878,2287.0,209.9,1943.0,0
327.933,27.849,2236.0,200.4,1889.0,0
330.74,28.698,2259.0,197.0,1899.0,0
326.535,27.823,2242.0,200.1,1892.0,0
361.697,27.182,2231.0,202.3,1911.0,0
349.176,28.741,2262.0,196.8,1913.0,0
319.709,25.947,2271.0,205.9,1924.0,0
338.31,27.875,2226.0,200.0,1888.0,0
345.008,26.067,2239.0,205.9,1917.0,0
372.878,27.178,2233.0,201.9,1919.0,0
340.385,26.569,2238.0,203.9,1909.0,0
340.636,26.481,2241.0,203.9,1911.0,0
337.125,27.827,2232.0,199.7,1892.0,0
320.716,24.874,2291.0,208.8,1948.0,0
347.358,27.314,2217.0,201.2,1890.0,0
338.633,27.068,2226.0,202.0,1894.0,0
324.588,28.117,2235.0,198.3,1883.0,0
343.164,28.905,2254.0,195.5,1902.0,0
347.059,26.243,2260.0,204.1,1931.0,0
352.397,25.329,2249.0,207.6,1935.0,0
349.4,28.704,2269.0,195.7,1918.0,0
350.508,28.625,2275.0,195.9,1924.0,0
349.955,26.647,2243.0,202.8,1917.0,0
358.633,26.281,2255.0,203.4,1934.0,0
359.546,26.602,2194.0,202.7,1885.0,0
351.598,26.261,2249.0,203.4,1925.0,0
316.3,24.945,2284.0,207.3,1939.0,0
357.108,26.173,2240.0,203.9,1924.0,0
347.731,26.64,2242.0,202.0,1915.0,0
338.698,28.155,2263.0,196.7,1912.0,0
358.47,28.165,2237.0,196.9,1905.0,0
336.729,27.147,2250.0,200.1,1910.0,0
354.662,28.646,2269.0,194.9,1922.0,0
352.752,26.067,2237.0,203.8,1920.0,0
333.605,27.797,2229.0,198.1,1888.0,0
348.951,26.267,2251.0,202.4,1925.0,0
358.762,28.485,2161.0,196.4,1849.0,0
349.93,28.683,2272.0,194.0,1921.0,0
347.809,26.085,2244.0,202.8,1922.0,0
334.982,26.131,2262.0,202.1,1926.0,0
342.842,28.705,2262.0,193.3,1909.0,0
315.3,24.915,2286.0,205.4,1940.0,0
350.982,26.534,2237.0,200.6,1915.0,0
346.305,27.997,2270.0,195.0,1923.0,0
343.908,26.042,2238.0,202.1,1916.0,0
329.138,24.778,2288.0,205.3,1952.0,0
349.311,26.272,2252.0,200.5,1926.0,0
358.402,26.275,2239.0,200.6,1923.0,0
332.515,25.015,2288.0,203.8,1952.0,0
349.986,26.257,2250.0,200.0,1925.0,0
317.084,23.941,2238.0,207.8,1916.0,0
362.437,28.431,2190.0,193.2,1872.0,0
358.094,25.279,2248.0,202.7,1938.0,0
364.002,26.021,2244.0,199.9,1932.0,0
365.76,26.03,2244.0,199.8,1933.0,0
364.635,26.036,2240.0,198.6,1929.0,0
359.206,26.037,2245.0,198.6,1930.0,0
324.491,24.699,2291.0,201.8,1952.0,0
356.711,26.032,2243.0,197.7,1927.0,0
367.31,27.845,2288.0,189.4,1950.0,0
365.312,26.237,2240.0,194.6,1928.0,0
326.293,21.898,2239.0,205.0,1918.0,0
366.607,28.04,2274.0,187.9,1938.0,0
366.619,25.749,2240.0,195.4,1933.0,0
365.44,26.963,2221.0,191.1,1907.0,0
364.557,28.321,2286.0,186.0,1943.0,0
339.594,24.908,2290.0,196.4,1959.0,0
354.368,25.111,2281.0,194.2,1959.0,0
378.825,28.138,2262.0,184.9,1935.0,0
345.271,25.683,2278.0,192.0,1947.0,0
341.609,25.97,2271.0,191.2,1938.0,0
375.046,25.943,2252.0,189.1,1944.0,0
373.864,25.98,2243.0,188.4,1937.0,0
365.485,25.969,2252.0,186.2,1938.0,0
366.473,24.934,2283.0,188.8,1969.0,0
378.466,26.317,2248.0,184.6,1940.0,0
376.544,27.945,2262.0,178.4,1935.0,0
384.808,27.939,2265.0,177.0,1942.0,0
410.287,26.91,2244.0,180.0,1949.0,0
365.2,24.603,2286.0,185.3,1974.0,0
400.232,25.711,2223.0,180.8,1938.0,0
376.605,25.014,2248.0,181.5,1950.0,0
367.518,25.021,2257.0,180.4,1952.0,0
391.684,26.361,2214.0,176.2,1921.0,0
379.821,24.802,2254.0,179.4,1958.0,0
411.825,26.93,2308.0,171.7,1997.0,0
379.094,24.509,2288.0,177.3,1984.0,0
387.747,25.561,2258.0,173.7,1958.0,0
407.872,27.177,2267.0,168.1,1962.0,0
402.22,25.711,2237.0,172.2,1949.0,0
402.277,26.296,2262.0,170.1,1963.0,0
396.805,26.488,2284.0,168.0,1975.0,0
